-0.0743589, -0.00782142, 0.199858, 0.0586251, 0.0252379, 0.0112541, 0.131672, 0.0902243, 0.149593, -0.0350398, 0.0061403, -0.00811118, -0.0050533, -0.101226, -0.0519916, 0.0139831, 
0.107288, 0.0185817, -0.0891414, 0.0985322, 0.140274, -0.0221022, 0.0216905, -0.00871321, 0.0480596, 0.0482086, 0.146308, 0.0121595, -0.0328533, 0.0822635, -0.074004, 0.0776286, 
0.03042, -0.0272025, 0.0155593, 0.00118355, -0.0905257, -0.103296, -0.0365283, -0.0599551, 0.117647, 0.0200315, -0.0171819, 0.0341016, -0.0683563, 0.039035, 0.00133813, -0.0584528, 
-0.0186945, -0.0310241, -0.0508952, 0.00103505, 0.0168016, 0.0609566, -0.0596898, 0.0787034, 0.0127807, 0.0819958, -0.00329079, 0.105129, -0.0142537, 0.0501403, 0.000335594, 0.0792881, 
-0.0418968, 0.0843806, -0.0204841, -0.00514605, 0.0563466, 0.0463298, 0.0495597, -0.0612194, 0.122492, 0.0675264, 0.0425784, 0.158944, 0.0333126, -0.0351675, 0.0265883, 0.0172786, 
-0.000155145, -0.0277894, -0.0592042, 0.0775184, 0.11087, 0.0567514, 0.0283266, -0.153157, -0.0465256, -0.0283089, -0.0222908, 0.019691, 0.00558021, 0.0427054, -0.10215, 0.00114883, 
-0.0966806, -0.0841323, 0.062356, 0.109561, 0.00700692, -0.055003, -0.0491849, -0.0176148, -0.0240004, 0.0858764, 0.0570181, 0.139771, -0.0941964, 0.172559, 0.0154926, -0.0244387, 
0.0599474, 0.082358, 0.00126813, -0.00625417, 0.158674, 0.0576365, 0.017461, 0.149641, -0.00872501, -0.02416, 0.00493558, 0.0758235, -0.168748, -0.0425629, -0.0520474, -0.15487, 
-0.0691578, -0.0706268, 0.0456875, -0.032076, -0.200979, -0.141668, 0.0783929, 0.0381932, -0.00814076, -0.0303441, -0.00273724, 0.0104369, 0.0372487, -0.00718454, 0.0787755, 0.0232974, 
0.0412696, 0.118991, 0.0735383, 0.00569658, 0.0987367, 0.0187427, 0.103674, -0.00663929, -0.0262003, 0.0302989, 0.0146476, 0.0910094, -0.0752719, 0.0263437, 0.166083, -0.0493965, 
-0.000930523, 0.0364395, -0.0438935, 0.0648858, -0.0294738, 0.0918933, -0.0309058, 0.0283562, 0.00282771, -0.0329919, 0.0585343, -0.0504372, -0.0362766, -0.0432308, -0.0657808, -0.0366672, 
-0.0241919, -0.0604458, 0.0560694, 0.00348672, 0.131378, -0.0567615, -0.0371595, 0.0377776, 0.112982, 0.0422196, 0.0663154, -0.0467135, -0.0942966, -0.00968728, -0.0133719, 0.170798, 
-0.0222102, -0.0139698, 0.0983865, 0.0494368, 0.0770077, 0.010115, -0.0957828, 0.0499044, -0.0155092, 0.0829517, 0.0127149, -0.0246906, 0.0682564, 0.0956533, 0.205128, -0.0188523, 
-0.00621609, 0.0339489, -0.0158347, 0.06979, 0.096951, 0.138235, 0.00495215, 0.0539944, -0.00961966, 0.0453799, 0.125275, 0.0062829, 0.0196306, -0.0146517, -0.0426939, -0.0598763, 
-0.0493084, -0.00913677, 0.0750048, 0.119404, 0.0421564, -0.0356978, 0.0622963, -0.0556989, -0.00898352, 0.0467671, 0.115554, 0.00154886, -0.0653148, -0.00276188, -0.0288737, 0.349496, 
0.132759, 0.0741248, 0.00906469, 0.000858007, 0.0235754, -0.034308, 0.0542532, 0.0314495, 0.00393943, 0.0662599, 0.0803745, -0.0291164, -0.0198691, 0.0525035, -0.0446449, -0.027864
