0.0236805, 0.0458608, 0.0093008, -0.0176745, 0.0561466, -0.0386771, -0.0251646, -0.0441753, 0.0151769, -0.0316961, 0.0850665, 0.0712006, 0.00706173, 0.00240633, -0.000492551, 0.0408053, 
-0.00915168, 0.0295945, 0.0572968, 0.0718084, 0.0405868, 0.0159625, -0.0480148, 0.0860013, 0.149937, 0.0572768, 0.00215366, 0.00944055, 0.0417008, 0.0599614, 0.0343392, 0.0658695, 
0.0211897, 0.0831158, 0.0543226, -0.00579252, 0.032037, -0.000830058, -0.0415707, 0.0922825, 0.0668699, -0.068439, 0.0947044, -0.00112844, -0.0223762, 0.0250923, -0.028449, 0.0539898, 
0.074393, 0.0320168, 0.00859979, -0.0532774, 0.0453468, 0.0328817, 0.0567116, 0.0734081, 0.0373719, 0.0360967, 0.0343551, 0.0564249, 0.0254807, 0.0670317, 0.0128745, 0.0989227, 
0.00696598, -0.0315163, 0.044813, 0.0875442, 0.0666466, 0.0487045, 0.0654821, 0.0199411, 0.0562616, 0.0389721, 0.0139328, 0.011001, 0.0695481, 0.0356875, -0.0168426, 0.0298397, 
0.029073, 0.0601016, 0.0266221, -0.0343452, 0.0785441, 0.0376851, 0.0477634, -0.0197642, -0.0485964, 0.0412239, -0.0563965, 0.0781175, -0.0717336, -0.042651, 0.149285, 0.0279013, 
0.072989, 0.0844665, 0.0124375, 0.0311371, 0.0395305, 0.00857613, 0.0395122, 0.0559165, 0.0130104, 0.0803536, -0.0242299, -0.0833528, 0.0314369, 0.0711351, 0.0430873, 0.000773344, 
0.0830505, 0.0794098, -0.00720323, -0.0355565, 0.0522525, 0.0555703, 0.0856032, 0.0528426, -0.0370399, 0.0851875, 0.0622633, 0.0393358, -0.012875, 0.0444917, -0.0221009, 0.0560101, 
-0.0278311, 0.0134631, -0.00932684, 0.0618775, 0.0495637, -0.00175742, -0.0644769, -0.0118143, 0.0188706, -0.0164837, -0.00221496, 0.0564453, 0.0939463, -0.00549071, 0.104334, -0.0140368, 
0.00351246, 0.022079, -0.00924791, 0.0340609, 0.0849933, 0.0135614, 0.0709332, 0.0753967, 0.00247984, 0.0027581, 0.000261413, -0.00328828, 0.0655158, 0.0688281, -0.0143462, -0.0451357, 
0.0997304, 0.0188523, 0.0581261, -0.00468679, 0.00557831, -0.01783, -0.0354016, 0.0653372, 0.00166017, 0.120751, 0.106749, 0.0668219, -0.0123153, -0.0170853, 0.0634886, -0.0196747, 
0.038004, 0.058162, 0.0767944, -0.0360055, 0.179855, 0.0134394, 0.0439099, 0.0157693, 0.0169656, 0.0286468, 0.00162922, 0.0354324, -0.0661849, 0.0675174, 0.0282581, 0.0662062, 
